R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
102;Guggisberg Peter;Kloten Flyers;Stürmer;42;13;70;18.57;1.67
103;Furrer Philippe;SC Bern;Verteidiger;35;2;70;2.86;2.00
104;Tambellini Jeff;Fribourg-Gottéron;Stürmer;30;5;69;7.25;2.30
105;Mercier Jonathan;Genève-Servette HC;Verteidiger;40;6;69;8.70;1.72
106;Koistinen Ville;HC Davos;Verteidiger;40;5;69;7.25;1.72
107;Kobasew Chuck;SC Bern;Stürmer;29;9;69;13.04;2.38
108;Hächler Cedric;SC Rapperswil-Jona Lakers;Verteidiger;50;0;69;0;1.38
109;Lauper Adrien;HC Ambri-Piotta;Stürmer;45;8;68;11.76;1.51
110;Wieser Dino;HC Davos;Stürmer;38;7;67;10.45;1.76
111;Picard Alexandre;Genève-Servette HC;Stürmer;30;10;67;14.93;2.23
112;Wellinger Thomas;EHC Biel;Verteidiger;47;1;66;1.52;1.40
113;Schilt Sebastian;Fribourg-Gottéron;Verteidiger;49;2;66;3.03;1.35
114;Ryser Sven;SC Rapperswil-Jona Lakers;Stürmer;40;5;66;7.58;1.65
115;Murray Jordan;SC Rapperswil-Jona Lakers;Stürmer;40;7;66;10.61;1.65
116;Hasani Adam;Fribourg-Gottéron;Stürmer;46;4;66;6.06;1.43
117;Bezina Goran;Genève-Servette HC;Verteidiger;40;2;66;3.03;1.65
118;Andersson Calle;HC Lugano;Verteidiger;48;6;66;9.09;1.38
119;Kamerzin Jérémie;Fribourg-Gottéron;Verteidiger;38;3;65;4.62;1.71
120;Chiesa Alessandro;HC Lugano;Verteidiger;49;5;64;7.81;1.31
121;Walker Julian;HC Lugano;Stürmer;47;4;63;6.35;1.34
122;Vukovic Daniel;Genève-Servette HC;Verteidiger;50;5;63;7.94;1.26
123;Trutmann Dario;Genève-Servette HC;Verteidiger;49;1;63;1.59;1.29
124;Simion Dario;HC Davos;Stürmer;47;13;63;20.63;1.34
125;Kuonen Raphael;SC Rapperswil-Jona Lakers;Stürmer;38;2;63;3.17;1.66
126;Brunner Damien;HC Lugano;Stürmer;20;11;63;17.46;3.15
127;Zangger Sandro;EV Zug;Stürmer;36;4;62;6.45;1.72
128;Herzog Fabrice;EV Zug;Stürmer;43;6;62;9.68;1.44
129;Blindenbacher Severin;ZSC Lions;Verteidiger;46;3;62;4.84;1.35
130;Ruefenacht Thomas;SC Bern;Stürmer;45;8;61;13.11;1.36
131;Kellenberger Steve;Kloten Flyers;Stürmer;46;2;61;3.28;1.33
132;Deruns Thomas;Lausanne HC;Stürmer;36;4;61;6.56;1.69
133;Sieber Lukas;SC Rapperswil-Jona Lakers;Stürmer;33;4;60;6.67;1.82
