R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
173;Geyer Cyrill;SC Rapperswil-Jona Lakers;Verteidiger;47;22;11;0;0;0;0
174;Conz Florian;Genève-Servette HC;Stürmer;40;22;11;0;0;0;0
175;Botter Cédric;Fribourg-Gottéron;Stürmer;44;22;11;0;0;0;0
176;Tschannen Stefan;EHC Biel;Stürmer;38;20;10;0;0;0;0
177;Taticek Petr;HC Davos;Stürmer;50;20;10;0;0;0;0
178;Sykora Petr;HC Davos;Stürmer;49;20;10;0;0;0;0
179;Niinimaa Janne;SCL Tigers;Verteidiger;20;20;10;0;0;0;0
180;Ling David;EHC Biel;Stürmer;33;20;10;0;0;0;0
181;Keller Olivier;Genève-Servette HC;Verteidiger;45;20;10;0;0;0;0
182;Kellenberger Steve;Kloten Flyers;Stürmer;36;20;5;0;1;0;0
183;Gmür Sandro;SCL Tigers;Verteidiger;50;20;10;0;0;0;0
184;Friedli Samuel;SC Rapperswil-Jona Lakers;Stürmer;46;20;10;0;0;0;0
185;Chouinard Marc;Fribourg-Gottéron;Stürmer;10;20;5;0;1;0;0
186;Bürgler Dario;HC Davos;Stürmer;42;20;10;0;0;0;0
187;Bordeleau Sébastien;SC Bern;Stürmer;32;20;10;0;0;0;0
188;Wahlberg Mikael;HC Ambri-Piotta;Stürmer;10;18;4;0;1;0;0
189;Von Arx Jan;HC Davos;Verteidiger;50;18;9;0;0;0;0
190;Schulthess Marc;Kloten Flyers;Verteidiger;47;18;9;0;0;0;0
191;Schönenberger Lovis;HC Ambri-Piotta;Stürmer;41;18;4;0;1;0;0
192;Schnyder Daniel;ZSC Lions;Verteidiger;40;18;9;0;0;0;0
193;Rizzello Antonio;SC Rapperswil-Jona Lakers;Stürmer;47;18;9;0;0;0;0
194;Reichert Marc;SC Bern;Stürmer;50;18;9;0;0;0;0
195;Ngoy Michael;Fribourg-Gottéron;Verteidiger;33;18;9;0;0;0;0
196;Kutlak Zdenek;HC Ambri-Piotta;Verteidiger;47;18;9;0;0;0;0
197;Krutov Alexei;ZSC Lions;Stürmer;46;18;9;0;0;0;0
198;Christen Gregory;HC Ambri-Piotta;Stürmer;39;18;4;0;1;0;0
199;Cadieux Jan;Genève-Servette HC;Stürmer;50;18;9;0;0;0;0
200;Bykov Andrey;Fribourg-Gottéron;Stürmer;45;18;4;0;1;0;0
201;Brunner Damien;EV Zug;Stürmer;47;18;9;0;0;0;0
202;Wieser Marc;HC Davos;Stürmer;34;16;8;0;0;0;0
203;Vukovic Daniel;Genève-Servette HC;Verteidiger;44;16;8;0;0;0;0
204;Vauclair Tristan;HC Lugano;Stürmer;49;16;8;0;0;0;0
