Spieler,Pos,Team,Year,GP,G,SOG,S%,SOG/GP,A,PTS,P/GP,PIM Total,+/-,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,2' ,5',10',GM,MP,PS,PSG,PSM,PS%,GWG PS,Number of year
Andersson Jonas,Forward,Kloten Flyers,ls/14,5,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
Andersson Jonas,Forward,Kloten Flyers,ry/14,5,,,,,1.0,2.0,0.4,0.0,1.0,,,,,,,,,,,,,,,,,,,,1
Andersson Jonas,Forward,Kloten Flyers,ts/14,5,1.0,14.0,7.14,2.8,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-,0.0,1
Antonietti Benjamin,Forward,Genève-Servette HC,es/09,10,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1
Antonietti Benjamin,Forward,Genève-Servette HC,es/10,5,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,1
Antonietti Benjamin,Forward,Genève-Servette HC,es/11,5,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,1
Antonietti Benjamin,Forward,Genève-Servette HC,ls/09,10,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
Antonietti Benjamin,Forward,Genève-Servette HC,ls/10,5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
Antonietti Benjamin,Forward,Genève-Servette HC,ls/11,5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
Antonietti Benjamin,Forward,Genève-Servette HC,ry/09,10,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1
Antonietti Benjamin,Forward,Genève-Servette HC,ry/10,5,,,,,0.0,0.0,0.0,2.0,-1.0,,,,,,,,,,,,,,,,,,,,1
Antonietti Benjamin,Forward,Genève-Servette HC,ry/11,5,,,,,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,1
Antonietti Benjamin,Forward,Genève-Servette HC,ts/09,10,0.0,0.0,-,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1
Antonietti Benjamin,Forward,Genève-Servette HC,ts/10,5,0.0,0.0,-,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1
Antonietti Benjamin,Forward,Genève-Servette HC,ts/11,5,0.0,4.0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,1
Antonietti Benjamin,Forward,Lausanne HC,es/13,50,,,,,,,,,,,,,,,,,,,6.0,0.0,1.0,0.0,0.0,,,,,,1
Antonietti Benjamin,Forward,Lausanne HC,es/14,39,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,,,,,,1
