Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Fr;10.01.2014;19:45;SC Rapperswil-Jona Lakers;Fribourg-Gottéron; 2:1; 0:0|2:0|0:1;;;False;Diners Club Arena, Rapperswil;4647
Fr;10.01.2014;19:45;EV Zug;SC Bern; 5:4; 1:1|3:2|1:1;;;False;BOSSARD Arena, Zug;6246
Sa;11.01.2014;19:45;HC Ambri-Piotta;Kloten Flyers; 2:5; 1:1|1:2|0:2;;;False;Stadio Valascia, Ambri;5832
Sa;11.01.2014;19:45;HC Davos;EV Zug; 1:2; 0:1|0:0|1:1;;;False;Vaillant Arena, Davos;5339
Sa;11.01.2014;19:45;HC Lugano;SC Rapperswil-Jona Lakers; 5:1; 1:1|1:0|3:0;;;False;Pista Resega, Porza;4546
Sa;11.01.2014;19:51;Genève-Servette HC;Lausanne HC; 0:1; 0:0|0:0|0:0|0:1;OT;;False;Stade de Genève (Winter Classic);29400
So;12.01.2014;15:45;SC Bern;EHC Biel; 2:1; 0:0|1:1|1:0;;;False;PostFinance-Arena, Bern;17131
Di;14.01.2014;19:45;ZSC Lions;Lausanne HC; 4:2; 2:1|1:1|1:0;;;False;Hallenstadion AG, Zürich;7767
Do;16.01.2014;19:45;Lausanne HC;Genève-Servette HC; 1:2; 0:0|0:0|1:1|0:1;OT;;False;P. de Malley, Lausanne;7439
Fr;17.01.2014;19:45;Genève-Servette HC;SC Bern; 3:1; 2:0|0:0|1:1;;;False;Les Vernets, Genève;6991
Fr;17.01.2014;19:45;Kloten Flyers;Fribourg-Gottéron; 5:2; 1:2|1:0|3:0;;;False;Kolping Arena, Kloten;5769
Fr;17.01.2014;19:45;SC Rapperswil-Jona Lakers;Lausanne HC; 2:4; 2:0|0:2|0:2;;;False;Diners Club Arena, Rapperswil;4445
Fr;17.01.2014;19:45;EV Zug;EHC Biel; 3:2; 1:0|1:2|1:0;;;False;BOSSARD Arena, Zug;6246
Fr;17.01.2014;20:15;HC Lugano;HC Ambri-Piotta; 4:2; 1:2|0:0|3:0;;;False;Pista Resega, Porza;7800
Sa;18.01.2014;19:45;HC Ambri-Piotta;EV Zug; 1:3; 1:1|0:0|0:2;;;False;Stadio Valascia, Ambri;5268
Sa;18.01.2014;19:45;SC Bern;Kloten Flyers; 6:0; 3:0|1:0|2:0;;;False;PostFinance-Arena, Bern;17131
Sa;18.01.2014;19:45;EHC Biel;HC Lugano; 2:3; 1:1|0:0|1:2;;;False;Eisstadion, Biel-Bienne;4876
Sa;18.01.2014;19:45;HC Davos;SC Rapperswil-Jona Lakers; 5:1; 2:0|2:1|1:0;;;False;Vaillant Arena, Davos;4674
Sa;18.01.2014;19:45;Fribourg-Gottéron;ZSC Lions; 4:2; 0:1|3:0|1:1;;;False;BCF Arena, Fribourg;6700
So;19.01.2014;15:45;ZSC Lions;HC Davos; 4:3; 0:0|1:3|3:0;;;False;Hallenstadion AG, Zürich;11200
Di;21.01.2014;19:45;Genève-Servette HC;HC Davos; 2:5; 0:2|1:1|1:2;;;False;Les Vernets, Genève;6739
Di;21.01.2014;19:45;HC Lugano;Fribourg-Gottéron; 2:3; 0:0|1:2|1:1;;;False;Pista Resega, Porza;4234
Di;21.01.2014;19:45;Lausanne HC;ZSC Lions; 2:1; 0:0|1:1|1:0;;;False;P. de Malley, Lausanne;6115
Di;21.01.2014;19:45;Kloten Flyers;EHC Biel; 3:2; 2:1|0:0|1:1;;;False;Kolping Arena, Kloten;4539
Fr;24.01.2014;19:45;HC Ambri-Piotta;HC Davos; 3:1; 0:0|1:0|2:1;;;False;Stadio Valascia, Ambri;5252
Fr;24.01.2014;19:45;SC Bern;Lausanne HC; 1:3; 0:1|0:1|1:1;;;False;PostFinance-Arena, Bern;16312
Fr;24.01.2014;19:45;Genève-Servette HC;HC Lugano; 4:1; 1:0|1:1|2:0;;;False;Les Vernets, Genève;7135
Fr;24.01.2014;19:45;EV Zug;SC Rapperswil-Jona Lakers; 5:4; 0:3|3:0|1:1|1:0;OT;;False;BOSSARD Arena, Zug;6490
Sa;25.01.2014;19:45;Fribourg-Gottéron;HC Ambri-Piotta; 3:0; 0:0|2:0|1:0;;;False;BCF Arena, Fribourg;6700
Sa;25.01.2014;19:45;SC Rapperswil-Jona Lakers;Kloten Flyers; 4:6; 0:2|0:1|4:3;;;False;Diners Club Arena, Rapperswil;4307
